iter	Logloss
0	0.6868418039
1	0.6799980072
2	0.672544916
3	0.6656532288
4	0.6593917019
5	0.6527298617
6	0.6474867671
7	0.641930178
8	0.6354720334
9	0.6291513558
10	0.6245577709
11	0.6179044792
12	0.612043082
13	0.6054236171
14	0.6003130258
15	0.5939365065
16	0.5883218237
17	0.583665595
18	0.5777914668
19	0.5719344357
20	0.5658844178
21	0.5626282749
22	0.5581578634
23	0.552941104
24	0.5477203921
25	0.5434747719
26	0.5385943493
27	0.5333271716
28	0.5291261328
29	0.5236462513
30	0.5197684966
31	0.5143280949
32	0.5101045356
33	0.505788872
34	0.5014456783
35	0.4976644861
36	0.493637085
37	0.4882876844
38	0.4844963809
39	0.4801505215
40	0.4759910308
41	0.471526686
42	0.4681808288
43	0.4644073119
44	0.4617766415
45	0.4585898066
46	0.4548072815
47	0.4518537406
48	0.4479792032
49	0.4437306416
50	0.4405315813
51	0.4383388198
52	0.4350912255
53	0.4311708198
54	0.4279828359
55	0.4245373829
56	0.4212797234
57	0.418392687
58	0.4147155486
59	0.4115429614
60	0.4083848517
61	0.4054751109
62	0.4027289885
63	0.3995851724
64	0.3971924839
65	0.3946933057
66	0.3920009567
67	0.3892906832
68	0.3865661161
69	0.3843342425
70	0.3814006943
71	0.3781073237
72	0.3753531123
73	0.3726360597
74	0.3699591303
75	0.3668639401
76	0.364142912
77	0.3632217545
78	0.3610010262
79	0.3584105021
80	0.3561615542
81	0.3542394523
82	0.3522470773
83	0.3499144589
84	0.3477954635
85	0.3454292941
86	0.3435235081
87	0.3414958816
88	0.3396151899
89	0.3379326786
90	0.3351978854
91	0.3331413269
92	0.3309858621
93	0.3290958405
94	0.3266946034
95	0.3250648085
96	0.3237274354
97	0.3220533578
98	0.3204001691
99	0.3185732738
100	0.3166105201
101	0.3151879828
102	0.3134788146
103	0.3119223951
104	0.3103155113
105	0.308490937
106	0.3066145196
107	0.3047356203
108	0.3034185157
109	0.3017212282
110	0.300507465
111	0.2989371196
112	0.2971543691
113	0.2961291118
114	0.2944105217
115	0.2926879331
116	0.2916507491
117	0.2900530344
118	0.2884692227
119	0.2868845606
120	0.2851150237
121	0.2839782439
122	0.2826848088
123	0.2810505557
124	0.2793386988
125	0.2782477413
126	0.2770552578
127	0.2754532228
128	0.2742718386
129	0.2724922364
130	0.2710349991
131	0.2695628706
132	0.2679036612
133	0.2665084471
134	0.2654953233
135	0.2645915388
136	0.2633867379
137	0.2621943922
138	0.2607961218
139	0.2598552474
140	0.2585763587
141	0.256907015
142	0.2558856872
143	0.2548994731
144	0.2539969525
145	0.2528118915
146	0.251476058
147	0.2502400042
148	0.2488326567
149	0.2478691928
150	0.2465958653
151	0.2455981151
152	0.2442419443
153	0.2431090941
154	0.2421258903
155	0.2409163785
156	0.2395442595
157	0.2383768702
158	0.2371129415
159	0.2364354651
160	0.2354029001
161	0.2346286084
162	0.2335929411
163	0.2326364402
164	0.2319254588
165	0.2308271477
166	0.2295688032
167	0.2284210849
168	0.2272527764
169	0.2262405487
170	0.2253091651
171	0.2245152715
172	0.2235579433
173	0.2224974805
174	0.2217206151
175	0.2210135402
176	0.2200419414
177	0.2190426746
178	0.2181868955
179	0.2173352069
180	0.2165882157
181	0.2159022136
182	0.215030854
183	0.2143067969
184	0.2133444361
185	0.2124538881
186	0.2115387285
187	0.2107483278
188	0.2101086766
189	0.2092900793
190	0.2085093303
191	0.207845527
192	0.2069387551
193	0.2062256825
194	0.2056133316
195	0.2047823251
196	0.2039885234
197	0.2033701058
198	0.2025892878
199	0.2018652767
200	0.2010096814
201	0.2001004047
202	0.1991057798
203	0.198555728
204	0.1979053911
205	0.1973535928
206	0.1964720531
207	0.1957972653
208	0.1950667508
209	0.1944131047
210	0.1937847367
211	0.1931225191
212	0.1923238456
213	0.1918505473
214	0.1911417605
215	0.1905460013
216	0.1900769429
217	0.1894972123
218	0.1887407188
219	0.1882989837
220	0.18761667
221	0.1868610382
222	0.1862422759
223	0.1855881013
224	0.1849779451
225	0.1844200571
226	0.1837939297
227	0.1833286975
228	0.182519614
229	0.1817741854
230	0.1811295705
231	0.1804973878
232	0.1798517618
233	0.1790755628
234	0.1785297394
235	0.1779557423
236	0.1773704391
237	0.1769560963
238	0.1764609325
239	0.1758229589
240	0.1752989666
241	0.1746305443
242	0.174128475
243	0.1736093544
244	0.1728905253
245	0.1723068421
246	0.1717208954
247	0.1711798978
248	0.1707689331
249	0.1701483899
250	0.1698311725
251	0.1693290113
252	0.1690185501
253	0.1684785062
254	0.167957145
255	0.1674937513
256	0.1670535674
257	0.1666834728
258	0.1662170686
259	0.1656307542
260	0.165115908
261	0.1647686326
262	0.1643602187
263	0.1638378695
264	0.1635006824
265	0.1632426963
266	0.1627583561
267	0.1622061672
268	0.1618059687
269	0.1613070476
270	0.1608360015
271	0.1603799728
272	0.1597731487
273	0.1593067215
274	0.1587953912
275	0.1585192623
276	0.1582116736
277	0.157664862
278	0.15725253
279	0.1567170017
280	0.1563393466
281	0.1560043312
282	0.1556456003
283	0.1552610742
284	0.1547208349
285	0.1542929799
286	0.1538299308
287	0.1534282271
288	0.1530257191
289	0.1524979695
290	0.1520368737
291	0.1515833384
292	0.1510783621
293	0.1506307901
294	0.1503475833
295	0.1499539456
296	0.1494413514
297	0.1490070734
298	0.1485776327
299	0.1481922104
300	0.1478435562
301	0.1473002147
302	0.1469846059
303	0.1464990363
304	0.1462424864
305	0.1459154221
306	0.1454584053
307	0.1451474845
308	0.1447890868
309	0.1445097636
310	0.1441779998
311	0.143740045
312	0.1432962762
313	0.1429187821
314	0.1425467112
315	0.1423491972
316	0.1419641656
317	0.1415423428
318	0.1411595862
319	0.1409107921
320	0.1406722931
321	0.1401449916
322	0.1397285691
323	0.1393716421
324	0.1389920223
325	0.1388055273
326	0.1385296511
327	0.1382354139
328	0.1378659742
329	0.1374458405
330	0.1372693648
331	0.1368188973
332	0.1366206135
333	0.1364194456
334	0.1360749854
335	0.1357870447
336	0.1354681957
337	0.1350198309
338	0.1346015815
339	0.1343257743
340	0.1341918348
341	0.1338829592
342	0.1335883198
343	0.1333415135
344	0.1329288023
345	0.1325967858
346	0.1324513906
