iter	Passed	Remaining
0	79	79835
1	84	42387
2	87	28966
3	90	22588
4	93	18567
5	96	15927
6	99	14046
7	102	12698
8	104	11533
9	107	10678
10	110	9930
11	112	9280
12	116	8850
13	120	8483
14	123	8095
15	126	7751
16	128	7438
17	130	7146
18	149	7705
19	152	7470
20	155	7240
21	157	7017
22	161	6842
23	163	6642
24	166	6498
25	169	6336
26	172	6217
27	174	6063
28	178	5970
29	180	5829
30	184	5756
31	186	5641
32	189	5551
33	191	5453
34	194	5357
35	197	5293
36	200	5223
37	202	5138
38	205	5060
39	208	4997
40	210	4918
41	213	4860
42	215	4797
43	217	4726
44	220	4670
45	222	4608
46	224	4559
47	227	4504
48	229	4458
49	232	4410
50	234	4360
51	237	4329
52	240	4288
53	242	4248
54	244	4208
55	246	4163
56	250	4143
57	253	4112
58	256	4092
59	259	4058
60	262	4034
61	264	4005
62	267	3975
63	269	3943
64	272	3912
65	274	3880
66	276	3851
67	279	3828
68	281	3797
69	284	3783
70	286	3750
71	288	3723
72	291	3705
73	293	3673
74	296	3650
75	298	3627
76	300	3601
77	303	3584
78	305	3558
79	308	3553
80	311	3529
81	314	3515
82	315	3490
83	318	3469
84	321	3456
85	323	3435
86	326	3426
87	329	3410
88	331	3388
89	333	3377
90	336	3356
91	338	3345
92	341	3328
93	343	3313
94	347	3305
95	348	3286
96	351	3276
97	354	3259
98	356	3247
99	359	3232
100	361	3213
101	364	3204
102	366	3189
103	368	3173
104	370	3157
105	372	3140
106	375	3136
107	377	3121
108	381	3116
109	383	3104
110	386	3094
111	388	3083
112	391	3071
113	393	3061
114	396	3050
115	399	3044
116	401	3027
117	403	3017
118	406	3012
119	408	2998
120	412	2994
121	414	2982
122	416	2972
123	419	2961
124	421	2949
125	424	2944
126	426	2932
127	429	2923
128	431	2915
129	434	2905
130	436	2898
131	439	2887
132	442	2882
133	444	2870
134	446	2862
135	449	2853
136	451	2841
137	453	2835
138	455	2824
139	458	2813
140	460	2808
141	463	2798
142	466	2794
143	468	2784
144	471	2778
145	473	2770
146	475	2760
147	478	2757
148	481	2748
149	484	2743
150	486	2734
151	487	2722
152	490	2716
153	493	2708
154	495	2700
155	497	2692
156	499	2682
157	502	2676
158	504	2667
159	506	2657
160	509	2654
161	511	2645
162	513	2637
163	516	2631
164	518	2621
165	520	2617
166	522	2608
167	526	2605
168	528	2596
169	529	2586
170	531	2578
171	534	2571
172	536	2562
173	538	2557
174	540	2549
175	542	2539
176	552	2568
177	554	2560
178	556	2551
179	558	2544
180	560	2537
181	563	2530
182	565	2523
183	567	2517
184	570	2511
185	572	2504
186	575	2501
187	577	2494
188	579	2488
189	583	2486
190	586	2482
191	588	2477
192	590	2470
193	593	2467
194	596	2460
195	598	2456
196	601	2452
197	603	2445
198	607	2443
199	609	2437
200	611	2432
201	614	2426
202	616	2419
203	620	2421
204	625	2425
205	628	2422
206	631	2417
207	634	2417
208	638	2415
209	642	2417
210	646	2416
211	648	2410
212	650	2404
213	653	2400
214	655	2394
215	658	2389
216	660	2384
217	663	2379
218	665	2375
219	668	2368
220	670	2362
221	672	2357
222	674	2350
223	677	2347
224	679	2340
225	681	2335
226	684	2331
227	686	2323
228	689	2322
229	692	2316
230	694	2313
231	697	2307
232	698	2300
233	702	2298
234	704	2292
235	706	2286
236	708	2281
237	710	2275
238	714	2276
239	716	2269
240	720	2270
241	722	2264
242	727	2265
243	729	2260
244	733	2259
245	735	2254
246	737	2249
247	740	2245
248	743	2242
249	746	2238
250	748	2233
251	751	2232
252	754	2226
253	757	2224
254	759	2218
255	762	2215
256	764	2210
257	766	2204
258	769	2201
259	771	2195
260	773	2191
261	776	2186
262	778	2180
263	781	2179
264	783	2174
265	787	2171
266	789	2166
267	792	2163
268	794	2158
269	796	2153
270	799	2150
271	802	2146
272	805	2144
273	807	2140
274	811	2138
275	813	2134
276	815	2129
277	819	2127
278	822	2124
279	825	2122
280	827	2118
281	830	2115
282	833	2112
283	836	2107
284	838	2102
285	840	2098
286	842	2093
287	844	2088
288	847	2084
289	849	2079
290	851	2074
291	854	2070
292	856	2066
293	858	2062
294	861	2058
295	863	2053
296	866	2051
297	868	2046
298	872	2045
299	874	2040
300	876	2036
301	879	2032
302	881	2027
303	884	2024
304	886	2019
305	889	2017
306	891	2012
307	893	2007
308	896	2004
309	898	2000
310	901	1997
311	903	1993
312	906	1989
313	908	1985
314	910	1980
315	913	1977
316	915	1972
317	917	1968
318	921	1966
319	923	1962
320	926	1959
321	928	1955
322	930	1950
323	933	1948
324	935	1943
325	947	1959
326	949	1954
327	953	1953
328	956	1949
329	958	1946
330	961	1942
331	963	1938
332	966	1936
333	969	1933
334	972	1929
335	974	1925
336	978	1924
337	980	1920
338	983	1918
339	985	1913
340	988	1909
341	990	1906
